task_id,task_description,deadline,priority,assigned_user,user_workload,past_task_behavior,category,status,time_taken_(hours),deadline_days_remaining,task_length,has_keyword_urgent,is_weekend_deadline,category_encoded,status_encoded,priority_encoded,is_completed,user_current_load,past_behavior_score,workload,deadline_days,task_description_clean
T0085,Organize shared team files,2025-07-25,Low,User_5,8.0,delayed,DevOps,Pending,0.0,4.0,4.0,0.0,1.0,1.0,2.0,1.0,0.0,20.0,0.3235294117647059,1.1628352490421454,4.0,organize shared team file
T0109,Write integration tests for API,2025-09-06,Medium,User_4,10.0,on-time,Development,In Progress,0.0,47.0,5.0,0.0,1.0,2.0,1.0,2.0,0.0,14.0,0.28,2.4597701149425286,47.0,write integration test api
T0194,Create UI wireframes for feature,2025-08-07,Medium,User_1,2.0,late,DevOps,Pending,0.0,17.0,5.0,0.0,0.0,1.0,2.0,2.0,0.0,25.0,0.3888888888888889,1.053639846743295,17.0,create ui wireframes feature
synthetic_99820,Implement search functionality.,2025-08-19,Low,user9,5.0,On Time,Development,To Do,3.731835194863153,,,,,,,,,,,,,implement search functionality
synthetic_43204,Redesign profile section layout.,2025-08-17,Urgent,user8,3.0,On Time,Design,To Do,6.24584946799887,,,,,,,,,,,,,redesign profile section layout
T0067,Schedule weekly team sync,2025-07-23,Low,User_7,5.0,delayed,Management,Completed,10.4,2.0,4.0,0.0,0.0,4.0,0.0,1.0,1.0,20.0,0.3823529411764705,0.7950191570881225,2.0,schedule weekly team sync
T0204,Resolve payment gateway timeout issue,2025-08-29,High,User_10,7.0,delayed,Testing,In Progress,0.0,39.0,5.0,0.0,0.0,5.0,1.0,0.0,0.0,17.0,0.3103448275862069,1.9885057471264365,39.0,resolve payment gateway timeout issue
T0058,Organize shared team files,2025-08-01,Low,User_1,4.0,on-time,DevOps,In Progress,0.0,11.0,4.0,0.0,0.0,1.0,1.0,1.0,0.0,25.0,0.3888888888888889,0.8390804597701148,11.0,organize shared team file
synthetic_87737,Setup monitoring for production servers.,2025-08-07,Urgent,user8,2.0,On Time,DevOps,To Do,11.090443250925714,,,,,,,,,,,,,setup monitoring production server
T0072,Send status update to manager,2025-08-19,Low,User_1,2.0,delayed,Management,Completed,9.3,29.0,5.0,0.0,0.0,4.0,0.0,1.0,1.0,25.0,0.3888888888888889,1.260536398467433,29.0,send status update manager
synthetic_44512,Update system documentation for new features.,2025-08-04,Medium,user3,5.0,On Time,Documentation,To Do,8.117328787195131,,,,,,,,,,,,,update system documentation new feature
T0177,Refactor module for scalability,2025-07-28,Medium,User_1,7.0,delayed,Design,In Progress,0.0,7.0,4.0,0.0,1.0,0.0,1.0,2.0,0.0,25.0,0.3888888888888889,1.1034482758620687,7.0,refactor module scalability
synthetic_72571,Prepare user guide for module deployment.,2025-08-13,Urgent,user6,10.0,Excellent,Documentation,To Do,4.195971670023519,,,,,,,,,,,,,prepare user guide module deployment
T0136,Create UI wireframes for feature,2025-09-17,Medium,User_5,6.0,delayed,Design,Completed,8.7,58.0,5.0,0.0,1.0,0.0,0.0,2.0,1.0,20.0,0.3235294117647059,2.204980842911877,58.0,create ui wireframes feature
T0279,Deploy hotfix for customer complaints,2025-07-25,High,User_5,6.0,delayed,Development,In Progress,0.0,4.0,5.0,0.0,0.0,2.0,1.0,0.0,0.0,20.0,0.3235294117647059,1.2739463601532566,4.0,deploy hotfix customer complaint
synthetic_11423,Write API reference documentation.,2025-08-18,Urgent,user9,7.0,Needs Improvement,Documentation,To Do,8.602228647398437,,,,,,,,,,,,,write api reference documentation
T0149,Write integration tests for API,2025-07-24,Medium,User_9,10.0,late,Management,Pending,0.0,3.0,5.0,0.0,1.0,4.0,2.0,2.0,0.0,17.0,0.3076923076923077,1.7011494252873562,3.0,write integration test api
T0186,Write integration tests for API,2025-07-23,Medium,User_5,9.0,delayed,DevOps,Completed,2.2,2.0,5.0,0.0,0.0,1.0,0.0,2.0,1.0,20.0,0.3235294117647059,1.5727969348659,2.0,write integration test api
T0057,Organize shared team files,2025-09-03,Low,User_8,3.0,delayed,Testing,In Progress,0.0,44.0,4.0,0.0,1.0,5.0,1.0,1.0,0.0,15.0,0.3870967741935484,1.296934865900383,44.0,organize shared team file
T0175,Review peer pull requests,2025-07-27,Medium,User_7,10.0,late,Development,Pending,0.0,6.0,4.0,0.0,0.0,2.0,2.0,2.0,0.0,20.0,0.3823529411764705,1.4195402298850577,6.0,review peer pull request
T0113,Write integration tests for API,2025-07-26,Medium,User_5,9.0,delayed,Documentation,Completed,9.3,5.0,5.0,0.0,1.0,3.0,0.0,2.0,1.0,20.0,0.3235294117647059,1.6245210727969346,5.0,write integration test api
T0074,Clean up old logs from server,2025-08-06,Low,User_8,4.0,on-time,Documentation,Completed,11.3,16.0,6.0,0.0,1.0,3.0,0.0,1.0,1.0,15.0,0.3870967741935484,1.5919540229885056,16.0,clean old log server
T0082,Send status update to manager,2025-07-30,Low,User_10,6.0,on-time,DevOps,Pending,0.0,9.0,5.0,0.0,0.0,1.0,2.0,1.0,0.0,17.0,0.3103448275862069,1.3601532567049808,9.0,send status update manager
synthetic_28727,Create wireframes for onboarding screens.,2025-08-12,Urgent,user7,5.0,Needs Improvement,Design,To Do,11.273215805906338,,,,,,,,,,,,,create wireframes onboarding screen
T0159,Write integration tests for API,2025-08-25,Medium,User_9,8.0,delayed,DevOps,Completed,10.4,35.0,5.0,0.0,1.0,1.0,0.0,2.0,1.0,17.0,0.3076923076923077,2.0306513409961684,35.0,write integration test api
synthetic_87801,Plan sprint retrospective.,2025-07-24,Urgent,user5,5.0,Needs Improvement,Management,To Do,4.57262712080829,,,,,,,,,,,,,plan sprint retrospective
T0022,Clean up old logs from server,2025-08-28,Low,User_6,3.0,on-time,DevOps,Completed,11.3,38.0,6.0,0.0,0.0,1.0,0.0,1.0,1.0,21.0,0.3823529411764705,1.8601532567049808,38.0,clean old log server
T0269,Fix critical bug in deployment pipeline,2025-08-13,High,User_10,1.0,late,Documentation,Completed,4.0,23.0,6.0,1.0,0.0,3.0,0.0,0.0,1.0,17.0,0.3103448275862069,1.3793103448275863,23.0,fix critical bug deployment pipeline
T0116,Create UI wireframes for feature,2025-08-02,Medium,User_8,1.0,on-time,Design,Completed,10.6,12.0,5.0,0.0,1.0,0.0,0.0,2.0,1.0,15.0,0.3870967741935484,0.8563218390804597,12.0,create ui wireframes feature
synthetic_94121,Write unit tests for payment module.,2025-08-20,Urgent,user5,10.0,Excellent,Testing,To Do,9.881249523622095,,,,,,,,,,,,,write unit test payment module
synthetic_87737,Setup monitoring for production servers.,2025-08-07,Urgent,user8,2.0,On Time,DevOps,To Do,11.090443250925714,,,,,,,,,,,,,setup monitoring production server
synthetic_98017,Coordinate interdepartmental meeting.,2025-08-15,Urgent,user7,6.0,Late,Management,To Do,9.40768551628818,,,,,,,,,,,,,coordinate interdepartmental meeting
synthetic_57303,Implement search functionality.,2025-08-17,Urgent,user1,6.0,Needs Improvement,Development,To Do,8.054563674974755,,,,,,,,,,,,,implement search functionality
synthetic_72571,Prepare user guide for module deployment.,2025-08-13,Urgent,user6,10.0,Excellent,Documentation,To Do,4.195971670023519,,,,,,,,,,,,,prepare user guide module deployment
T0001,Update internal documentation,2025-08-27,Low,User_4,4.0,late,Management,In Progress,0.0,37.0,3.0,0.0,1.0,4.0,1.0,1.0,0.0,14.0,0.28,0.954022988505747,37.0,update internal documentation
synthetic_43204,Redesign profile section layout.,2025-08-17,Urgent,user8,3.0,On Time,Design,To Do,6.24584946799887,,,,,,,,,,,,,redesign profile section layout
T0119,Write integration tests for API,2025-08-16,Medium,User_2,9.0,late,Documentation,Pending,0.0,26.0,5.0,0.0,1.0,3.0,2.0,2.0,0.0,18.0,0.4814814814814814,1.986590038314176,26.0,write integration test api
T0225,Restore database from backup,2025-09-07,High,User_7,2.0,delayed,Documentation,Completed,9.1,48.0,4.0,0.0,1.0,3.0,0.0,0.0,1.0,20.0,0.3823529411764705,1.2547892720306513,48.0,restore database backup
T0140,Create UI wireframes for feature,2025-09-10,Medium,User_3,9.0,late,Documentation,In Progress,0.0,51.0,5.0,0.0,0.0,3.0,1.0,2.0,0.0,13.0,0.25,2.4176245210727965,51.0,create ui wireframes feature
T0020,Update internal documentation,2025-07-25,Low,User_3,7.0,late,Development,Pending,0.0,4.0,3.0,0.0,0.0,2.0,2.0,1.0,0.0,13.0,0.25,0.718390804597701,4.0,update internal documentation
synthetic_98470,Create wireframes for onboarding screens.,2025-08-05,High,user6,7.0,Needs Improvement,Design,To Do,3.649978372024934,,,,,,,,,,,,,create wireframes onboarding screen
T0264,Restore database from backup,2025-08-22,High,User_10,8.0,late,Testing,Completed,11.1,32.0,4.0,0.0,1.0,5.0,0.0,0.0,1.0,17.0,0.3103448275862069,1.6455938697318009,32.0,restore database backup
synthetic_17149,Conduct load testing for new API.,2025-08-11,Urgent,user2,2.0,Needs Improvement,Testing,To Do,4.434283857567285,,,,,,,,,,,,,conduct load testing new api
T0231,Patch security vulnerability in auth system,2025-08-04,High,User_6,2.0,on-time,DevOps,Completed,4.8,14.0,6.0,0.0,0.0,1.0,0.0,0.0,1.0,21.0,0.3823529411764705,1.3352490421455938,14.0,patch security vulnerability auth system
T0083,Clean up old logs from server,2025-08-30,Low,User_8,4.0,delayed,Design,Pending,0.0,40.0,6.0,0.0,0.0,0.0,2.0,1.0,0.0,15.0,0.3870967741935484,2.005747126436781,40.0,clean old log server
synthetic_22926,Write API reference documentation.,2025-08-07,Low,user2,10.0,Needs Improvement,Documentation,To Do,6.977025061811093,,,,,,,,,,,,,write api reference documentation
synthetic_73068,Create wireframes for onboarding screens.,2025-08-14,High,user7,4.0,Excellent,Design,To Do,10.216256286144535,,,,,,,,,,,,,create wireframes onboarding screen
T0289,Fix critical bug in deployment pipeline,2025-07-27,High,User_2,8.0,delayed,DevOps,Pending,0.0,6.0,6.0,1.0,1.0,1.0,2.0,0.0,0.0,18.0,0.4814814814814814,1.8639846743295017,6.0,fix critical bug deployment pipeline
synthetic_94121,Write unit tests for payment module.,2025-08-20,Urgent,user5,10.0,Excellent,Testing,To Do,9.881249523622095,,,,,,,,,,,,,write unit test payment module
T0221,Fix critical bug in deployment pipeline,2025-08-29,High,User_1,4.0,on-time,Testing,Completed,8.9,39.0,6.0,1.0,1.0,5.0,0.0,0.0,1.0,25.0,0.3888888888888889,1.988505747126437,39.0,fix critical bug deployment pipeline
T0299,Deploy hotfix for customer complaints,2025-09-14,High,User_9,6.0,on-time,Design,Completed,6.3,55.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,0.3076923076923077,2.153256704980843,55.0,deploy hotfix customer complaint
synthetic_89762,Allocate resources for upcoming milestone.,2025-08-02,Low,user8,10.0,Late,Management,To Do,5.0663330661812775,,,,,,,,,,,,,allocate resource upcoming milestone
T0293,Deploy hotfix for customer complaints,2025-07-30,High,User_9,1.0,delayed,Development,In Progress,0.0,9.0,5.0,0.0,0.0,2.0,1.0,0.0,0.0,17.0,0.3076923076923077,0.8045977011494252,9.0,deploy hotfix customer complaint
T0237,Fix critical bug in deployment pipeline,2025-09-18,High,User_9,8.0,delayed,Development,Completed,4.6,59.0,6.0,1.0,1.0,2.0,0.0,0.0,1.0,17.0,0.3076923076923077,2.7777777777777777,59.0,fix critical bug deployment pipeline
synthetic_75186,Plan sprint retrospective.,2025-07-22,Medium,user2,6.0,Needs Improvement,Management,To Do,2.1131981966611373,,,,,,,,,,,,,plan sprint retrospective
T0283,Deploy hotfix for customer complaints,2025-09-09,High,User_2,10.0,on-time,Management,In Progress,0.0,50.0,5.0,0.0,1.0,4.0,1.0,0.0,0.0,18.0,0.4814814814814814,2.511494252873563,50.0,deploy hotfix customer complaint
synthetic_56601,Optimize CI/CD pipeline.,2025-07-24,Urgent,user1,2.0,Needs Improvement,DevOps,To Do,4.523913606931218,,,,,,,,,,,,,optimize cicd pipeline
T0222,Restore database from backup,2025-08-26,High,User_7,10.0,late,Development,In Progress,0.0,36.0,4.0,0.0,0.0,2.0,1.0,0.0,0.0,20.0,0.3823529411764705,1.9367816091954024,36.0,restore database backup
synthetic_97057,Setup monitoring for production servers.,2025-08-15,Urgent,user10,2.0,Excellent,DevOps,To Do,9.349034859276792,,,,,,,,,,,,,setup monitoring production server
synthetic_74495,Update color palette and typography.,2025-08-15,Urgent,user8,5.0,On Time,Design,To Do,10.457119812982445,,,,,,,,,,,,,update color palette typography
T0166,Update user guides,2025-08-12,Medium,User_7,7.0,on-time,Testing,Pending,0.0,22.0,3.0,0.0,0.0,5.0,2.0,2.0,0.0,20.0,0.3823529411764705,1.0287356321839078,22.0,update user guide
synthetic_87801,Plan sprint retrospective.,2025-07-24,Urgent,user5,5.0,Needs Improvement,Management,To Do,4.57262712080829,,,,,,,,,,,,,plan sprint retrospective
synthetic_16043,Conduct load testing for new API.,2025-08-04,High,user10,10.0,Needs Improvement,Testing,To Do,6.317783562360757,,,,,,,,,,,,,conduct load testing new api
T0098,Update internal documentation,2025-08-15,Low,User_8,1.0,late,Documentation,In Progress,0.0,25.0,3.0,0.0,1.0,3.0,1.0,1.0,0.0,15.0,0.3870967741935484,0.4137931034482758,25.0,update internal documentation
T0208,Deploy hotfix for customer complaints,2025-08-27,High,User_7,6.0,on-time,Testing,Pending,0.0,37.0,5.0,0.0,0.0,5.0,2.0,0.0,0.0,20.0,0.3823529411764705,1.842911877394636,37.0,deploy hotfix customer complaint
synthetic_28425,Update system documentation for new features.,2025-08-18,High,user4,5.0,On Time,Documentation,To Do,11.306911223099036,,,,,,,,,,,,,update system documentation new feature
synthetic_81727,Write unit tests for payment module.,2025-08-02,High,user10,1.0,Excellent,Testing,To Do,2.6272323717676,,,,,,,,,,,,,write unit test payment module
T0103,Write integration tests for API,2025-09-18,Medium,User_8,1.0,on-time,DevOps,Pending,0.0,59.0,5.0,0.0,0.0,1.0,2.0,2.0,0.0,15.0,0.3870967741935484,1.6666666666666663,59.0,write integration test api
T0051,Schedule weekly team sync,2025-08-22,Low,User_1,4.0,late,Testing,In Progress,0.0,32.0,4.0,0.0,0.0,5.0,1.0,1.0,0.0,25.0,0.3888888888888889,1.201149425287356,32.0,schedule weekly team sync
synthetic_87801,Plan sprint retrospective.,2025-07-24,Urgent,user5,5.0,Needs Improvement,Management,To Do,4.57262712080829,,,,,,,,,,,,,plan sprint retrospective
T0169,Review peer pull requests,2025-09-01,Medium,User_2,8.0,on-time,Management,Completed,1.9,42.0,4.0,0.0,1.0,4.0,0.0,2.0,1.0,18.0,0.4814814814814814,1.8180076628352488,42.0,review peer pull request
T0043,Update internal documentation,2025-08-28,Low,User_5,7.0,on-time,Testing,Completed,3.9,38.0,3.0,0.0,0.0,5.0,0.0,1.0,1.0,20.0,0.3235294117647059,1.304597701149425,38.0,update internal documentation
T0217,Restore database from backup,2025-07-24,High,User_10,1.0,delayed,Development,Completed,1.7,3.0,4.0,0.0,0.0,2.0,0.0,0.0,1.0,17.0,0.3103448275862069,0.3678160919540229,3.0,restore database backup
synthetic_62480,Redesign profile section layout.,2025-07-23,High,user8,9.0,Needs Improvement,Design,To Do,3.729335843455418,,,,,,,,,,,,,redesign profile section layout
T0021,Organize shared team files,2025-07-27,Low,User_7,3.0,late,Development,Completed,2.5,6.0,4.0,0.0,0.0,2.0,0.0,1.0,1.0,20.0,0.3823529411764705,0.6417624521072796,6.0,organize shared team file
T0030,Send status update to manager,2025-08-25,Low,User_1,7.0,on-time,Management,In Progress,0.0,35.0,5.0,0.0,0.0,4.0,1.0,1.0,0.0,25.0,0.3888888888888889,1.9195402298850568,35.0,send status update manager
T0287,Deploy hotfix for customer complaints,2025-09-10,High,User_2,3.0,on-time,Documentation,Completed,8.9,51.0,5.0,0.0,0.0,3.0,0.0,0.0,1.0,18.0,0.4814814814814814,1.75095785440613,51.0,deploy hotfix customer complaint
synthetic_67902,Redesign profile section layout.,2025-08-05,Urgent,user3,1.0,Late,Design,To Do,7.754884045898051,,,,,,,,,,,,,redesign profile section layout
synthetic_97057,Setup monitoring for production servers.,2025-08-15,Urgent,user10,2.0,Excellent,DevOps,To Do,9.349034859276792,,,,,,,,,,,,,setup monitoring production server
synthetic_43204,Redesign profile section layout.,2025-08-17,Urgent,user8,3.0,On Time,Design,To Do,6.24584946799887,,,,,,,,,,,,,redesign profile section layout
T0157,Refactor module for scalability,2025-09-16,Medium,User_6,4.0,delayed,Design,In Progress,0.0,57.0,4.0,0.0,0.0,0.0,1.0,2.0,0.0,21.0,0.3823529411764705,1.6321839080459768,57.0,refactor module scalability
T0288,Resolve payment gateway timeout issue,2025-09-12,High,User_5,4.0,delayed,Testing,In Progress,0.0,53.0,5.0,0.0,0.0,5.0,1.0,0.0,0.0,20.0,0.3235294117647059,1.8965517241379304,53.0,resolve payment gateway timeout issue
synthetic_98333,Prepare user guide for module deployment.,2025-07-27,High,user6,3.0,Excellent,Documentation,To Do,4.334593997634256,,,,,,,,,,,,,prepare user guide module deployment
T0039,Send status update to manager,2025-07-29,Low,User_10,6.0,delayed,Development,In Progress,0.0,8.0,5.0,0.0,1.0,2.0,1.0,1.0,0.0,17.0,0.3103448275862069,1.3429118773946358,8.0,send status update manager
T0247,Fix critical bug in deployment pipeline,2025-08-25,High,User_8,7.0,late,Design,Pending,0.0,35.0,6.0,1.0,1.0,0.0,2.0,0.0,0.0,15.0,0.3870967741935484,2.2528735632183907,35.0,fix critical bug deployment pipeline
synthetic_54335,Redesign profile section layout.,2025-07-25,High,user4,10.0,Late,Design,To Do,6.930717116305416,,,,,,,,,,,,,redesign profile section layout
T0250,Deploy hotfix for customer complaints,2025-08-14,High,User_7,6.0,late,DevOps,Pending,0.0,24.0,5.0,0.0,1.0,1.0,2.0,0.0,0.0,20.0,0.3823529411764705,1.6187739463601531,24.0,deploy hotfix customer complaint
synthetic_67902,Redesign profile section layout.,2025-08-05,Urgent,user3,1.0,Late,Design,To Do,7.754884045898051,,,,,,,,,,,,,redesign profile section layout
T0235,Restore database from backup,2025-09-16,High,User_9,5.0,delayed,DevOps,Completed,4.9,57.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,17.0,0.3076923076923077,1.743295019157088,57.0,restore database backup
T0165,Create UI wireframes for feature,2025-08-12,Medium,User_2,8.0,on-time,DevOps,In Progress,0.0,22.0,5.0,0.0,0.0,1.0,1.0,2.0,0.0,18.0,0.4814814814814814,1.8065134099616853,22.0,create ui wireframes feature
T0249,Deploy hotfix for customer complaints,2025-09-04,High,User_6,7.0,delayed,DevOps,Completed,8.4,45.0,5.0,0.0,0.0,1.0,0.0,0.0,1.0,21.0,0.3823529411764705,2.0919540229885056,45.0,deploy hotfix customer complaint
T0107,Review peer pull requests,2025-07-24,Medium,User_9,2.0,late,DevOps,Completed,1.8,3.0,4.0,0.0,0.0,1.0,0.0,2.0,1.0,17.0,0.3076923076923077,0.478927203065134,3.0,review peer pull request
synthetic_72991,Coordinate interdepartmental meeting.,2025-08-16,Low,user9,9.0,Late,Management,To Do,6.33787957473932,,,,,,,,,,,,,coordinate interdepartmental meeting
synthetic_25203,Setup monitoring for production servers.,2025-08-16,Urgent,user8,1.0,Late,DevOps,To Do,3.6532500261104657,,,,,,,,,,,,,setup monitoring production server
synthetic_46940,Write unit tests for payment module.,2025-07-27,Urgent,user7,1.0,Excellent,Testing,To Do,5.544458818346778,,,,,,,,,,,,,write unit test payment module
T0093,Schedule weekly team sync,2025-08-04,Low,User_6,1.0,delayed,Design,Pending,0.0,14.0,4.0,0.0,1.0,0.0,2.0,1.0,0.0,21.0,0.3823529411764705,0.557471264367816,14.0,schedule weekly team sync
T0201,Resolve payment gateway timeout issue,2025-08-20,High,User_2,9.0,late,Documentation,In Progress,0.0,30.0,5.0,0.0,1.0,3.0,1.0,0.0,0.0,18.0,0.4814814814814814,2.055555555555556,30.0,resolve payment gateway timeout issue
synthetic_84318,Create onboarding manual for new developers.,2025-08-03,Urgent,user7,8.0,On Time,Documentation,To Do,6.053766670927303,,,,,,,,,,,,,create onboarding manual new developer
synthetic_84318,Create onboarding manual for new developers.,2025-08-03,Urgent,user7,8.0,On Time,Documentation,To Do,6.053766670927303,,,,,,,,,,,,,create onboarding manual new developer
T0105,Write integration tests for API,2025-08-20,Medium,User_2,8.0,on-time,Management,In Progress,0.0,30.0,5.0,0.0,0.0,4.0,1.0,2.0,0.0,18.0,0.4814814814814814,1.944444444444444,30.0,write integration test api
T0212,Deploy hotfix for customer complaints,2025-08-14,High,User_6,3.0,delayed,DevOps,Pending,0.0,24.0,5.0,0.0,0.0,1.0,2.0,0.0,0.0,21.0,0.3823529411764705,1.28544061302682,24.0,deploy hotfix customer complaint
synthetic_45040,Setup monitoring for production servers.,2025-08-20,Urgent,user7,9.0,Late,DevOps,To Do,11.25532166359304,,,,,,,,,,,,,setup monitoring production server
T0023,Send status update to manager,2025-09-06,Low,User_4,10.0,delayed,Testing,Pending,0.0,47.0,5.0,0.0,0.0,5.0,2.0,1.0,0.0,14.0,0.28,2.4597701149425286,47.0,send status update manager
T0012,Organize shared team files,2025-08-18,Low,User_8,2.0,delayed,Design,Completed,2.6,28.0,4.0,0.0,1.0,0.0,0.0,1.0,1.0,15.0,0.3870967741935484,0.9099616858237548,28.0,organize shared team file
T0129,Write integration tests for API,2025-09-14,Medium,User_2,4.0,on-time,DevOps,Completed,4.2,55.0,5.0,0.0,0.0,1.0,0.0,2.0,1.0,18.0,0.4814814814814814,1.9310344827586208,55.0,write integration test api
T0038,Organize shared team files,2025-08-05,Low,User_2,3.0,late,Design,Completed,12.0,15.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,18.0,0.4814814814814814,0.7969348659003831,15.0,organize shared team file
synthetic_24245,Create onboarding manual for new developers.,2025-07-25,High,user10,5.0,Needs Improvement,Documentation,To Do,10.935529708429538,,,,,,,,,,,,,create onboarding manual new developer
T0260,Restore database from backup,2025-08-05,High,User_4,6.0,on-time,Testing,Completed,7.0,15.0,4.0,0.0,0.0,5.0,0.0,0.0,1.0,14.0,0.28,1.1302681992337165,15.0,restore database backup
